"g","rep_meas","emmean","SE","df","lower_cl","upper_cl"
"a","y1","0.078339032614172605","0.12036571548607393","56","-0.16278246980078856","0.31946053502913374"
"b","y1","0.68455016164694593","0.10173762535175626","56","0.48074520790341824","0.88835511539047363"
"c","y1","1.0105133824878367","0.12396725486921135","56","0.76217712973004048","1.2588496352456331"
"a","y2","-0.40288778898670807","0.13315236804963554","56","-0.66962403447475638","-0.13615154349865977"
"b","y2","0.34535137953276041","0.11254538454432483","56","0.11989588249517696","0.57080687657034379"
"c","y2","0.49210798885432683","0.13713650502379124","56","0.21739055795018247","0.76682541975847118"
"a","y3","0.14063300406922999","0.11069433199414952","56","-0.081114389127115077","0.36238039726557503"
"b","y3","0.19349879086786223","0.093563008631695269","56","0.0060695621989353687","0.38092801953678912"
"c","y3","0.45182550453596032","0.11400648774013637","56","0.22344306608208844","0.68020794298983223"
