"contrast","estimate","SE","t","df","p_mvt"
"t1 - ctrl","0.00037827864489297568","0.29644421520946912","0.0012760533870619869","216","1"
"t2 - ctrl","0.33844918984298256","0.29644421520946984","1.1416960509883172","216","0.80263884838832433"
"t3 - ctrl","0.35479086314888025","0.29644421520946851","1.1968216782310419","216","0.76536666762759753"
"t4 - ctrl","0.77338373438076324","0.29644421520946951","2.6088676880885835","216","0.059285395925421036"
"t5 - ctrl","0.59391335223868802","0.29644421520946929","2.0034573851239608","216","0.23371860273467671"
"t6 - ctrl","0.76880734667855788","0.29644421520946834","2.5934300864508906","216","0.061778281417252945"
"t7 - ctrl","1.1779246983084026","0.2964442152094684","3.9735121748828104","216","0.00075991244913220513"
"t8 - ctrl","0.87563779148117615","0.29644421520946856","2.95380293004688","216","0.023026999908292378"
