"contrast","estimate","SE","t","df","p_mvt"
"t1 - ctrl","0.39282399943388246","0.32109122366760218","1.2234031031646602","144","0.61629415890270389"
"t2 - ctrl","0.63934169696767384","0.3210912236676014","1.9911528246238528","144","0.17668508517884529"
"t3 - ctrl","1.106128366990488","0.32109122366760179","3.4449037701994865","144","0.0034044749252047923"
"t4 - ctrl","0.9773352977558184","0.3210912236676024","3.0437932453973517","144","0.012338411566562568"
"t5 - ctrl","1.1687128168877285","0.32109122366760218","3.6398155126706149","144","0.0017365998552993922"
