"contrast","estimate","SE","t","p"
"d1 - d2","-0.66122027855469767","0.24218561886889478","-2.7302210661510991","0.0073168642054638258"
"d1 - d3","-1.2214670957689031","0.24218561886889498","-5.0435162148506159","1.7052653893378867e-06"
"d1 - d4","-1.5799599129478659","0.2421856188688952","-6.5237561186618667","1.8719064344582397e-09"
"d2 - d3","-0.56024681721420544","0.24218561886889517","-2.3132951486995172","0.022468274737231175"
"d2 - d4","-0.91873963439316819","0.24218561886889525","-3.7935350525107712","0.00023754300599199707"
"d3 - d4","-0.35849281717896275","0.24218561886889528","-1.4802399038112548","0.1415201400446103"
